City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Songea,TZ,2022-11-08 23:13:47,-10.6833,35.65,65.68,59,17,5.41
223,Axim,GH,2022-11-08 23:14:48,4.8699,-2.2405,78.37,86,30,7.11
224,Hasanabad,IR,2022-11-08 23:14:48,36.5465,61.0543,43.16,53,84,6.02
225,Tianpeng,CN,2022-11-08 23:14:48,30.9866,103.9393,65.62,90,100,3.15
226,Calella,ES,2022-11-08 23:14:49,41.618,2.6678,67.23,91,96,9.37
227,Girne,CY,2022-11-08 23:11:05,35.3417,33.3167,56.75,64,7,2.77
228,Labuhan,ID,2022-11-08 23:14:49,-6.8844,112.2051,78.89,82,61,5.32
229,Cockburn Town,TC,2022-11-08 23:12:08,21.4612,-71.1419,81.63,73,1,13.2
230,Huarmey,PE,2022-11-08 23:14:49,-10.0681,-78.1522,65.86,81,15,8.08
231,Iqaluit,CA,2022-11-08 23:14:50,63.7506,-68.5145,16.7,85,100,4.0
232,Kavaratti,IN,2022-11-08 23:14:50,10.5669,72.642,81.82,74,57,7.45
233,Nantucket,US,2022-11-08 23:14:50,41.2835,-70.0995,51.91,48,0,20.71
234,Ponta Do Sol,PT,2022-11-08 23:14:50,32.6667,-17.1,70.72,84,78,7.94
235,Shizunai,JP,2022-11-08 23:14:51,42.3339,142.3669,46.26,67,39,7.11
236,Batagay,RU,2022-11-08 23:14:51,67.6333,134.6333,-17.03,97,98,4.52
237,Aasiaat,GL,2022-11-08 23:14:51,68.7098,-52.8699,-3.19,98,92,6.89
238,Tasiilaq,GL,2022-11-08 23:14:52,65.6145,-37.6368,30.36,96,100,7.45
239,Camocim,BR,2022-11-08 23:14:08,-2.9022,-40.8411,78.96,78,100,14.34
240,Manggar,ID,2022-11-08 23:14:52,-2.8833,108.2667,77.25,88,96,3.89
241,Tual,ID,2022-11-08 23:14:52,-5.6667,132.75,82.99,78,94,9.17
242,Micheweni,TZ,2022-11-08 23:14:52,-4.9667,39.8333,76.98,87,4,7.34
243,Nhulunbuy,AU,2022-11-08 23:14:53,-12.2333,136.7667,86.61,66,71,5.75
244,Kibala,TD,2022-11-08 23:14:53,9.1104,18.3463,80.38,37,76,3.53
245,Pinheiro,BR,2022-11-08 23:14:53,-2.5214,-45.0825,73.62,94,100,2.77
246,Akyab,MM,2022-11-08 23:14:54,20.15,92.9,72.07,84,25,7.2
247,Cabo San Lucas,MX,2022-11-08 23:14:54,22.8909,-109.9124,81.7,64,0,19.57
248,El Dorado,US,2022-11-08 23:14:54,38.7666,-120.5177,41.63,97,100,7.36
249,Coquimbo,CL,2022-11-08 23:14:55,-29.9533,-71.3436,58.73,82,100,10.36
250,Ayan,RU,2022-11-08 23:14:55,56.45,138.1667,20.12,58,100,3.74
251,Aklavik,CA,2022-11-08 23:14:55,68.2191,-135.0107,15.26,90,100,2.86
252,Bitung,ID,2022-11-08 23:13:50,1.4451,125.1824,81.45,76,98,2.77
253,Vydrino,RU,2022-11-08 23:14:56,51.485,104.8461,29.16,91,100,2.62
254,Lodja,CD,2022-11-08 23:14:56,-3.4833,23.4333,69.19,99,100,2.37
255,Snezhnogorsk,RU,2022-11-08 23:14:56,69.1933,33.2531,28.18,94,99,1.5
256,Bilma,NE,2022-11-08 23:10:35,18.6853,12.9164,72.23,22,1,9.64
257,Nyagan,RU,2022-11-08 23:14:57,62.1406,65.3936,23.59,97,96,4.27
258,Verkhoyansk,RU,2022-11-08 23:14:57,67.5447,133.385,-11.25,99,100,3.36
259,Sitka,US,2022-11-08 23:13:09,57.0531,-135.33,39.09,41,75,0.0
260,Saint-Georges,GD,2022-11-08 23:11:57,12.0564,-61.7485,78.98,87,100,12.19
261,Malino,PH,2022-11-08 23:14:57,15.1257,120.6727,80.02,73,75,2.3
262,Safaga,EG,2022-11-08 23:14:58,26.7292,33.9365,72.18,55,93,12.44
263,Samarai,PG,2022-11-08 23:11:53,-10.6167,150.6667,81.21,79,94,9.48
264,Naze,JP,2022-11-08 23:12:42,28.3667,129.4833,70.32,71,98,14.79
265,Saint-Pierre,RE,2022-11-08 23:14:58,-21.3393,55.4781,76.57,56,0,6.91
266,Vitry-Le-Francois,FR,2022-11-08 23:14:58,48.7333,4.5833,57.61,94,100,12.97
267,Necochea,AR,2022-11-08 23:10:27,-38.5473,-58.7368,73.53,28,87,18.1
268,Bonthe,SL,2022-11-08 23:14:59,7.5264,-12.505,78.46,82,61,5.12
269,Korla,CN,2022-11-08 23:13:19,41.7597,86.1469,46.38,46,56,11.56
270,Zhangdian,CN,2022-11-08 23:15:59,34.2,119.3,54.43,89,100,6.33
271,Baykit,RU,2022-11-08 23:15:59,61.67,96.37,17.76,96,100,4.56
